"","sd","power"
"1",0.05,1
"2",0.0646464646464646,1
"3",0.0792929292929293,1
"4",0.0939393939393939,1
"5",0.108585858585859,1
"6",0.123232323232323,1
"7",0.137878787878788,1
"8",0.152525252525253,1
"9",0.167171717171717,1
"10",0.181818181818182,1
"11",0.196464646464646,1
"12",0.211111111111111,0.99
"13",0.225757575757576,0.99
"14",0.24040404040404,0.97
"15",0.255050505050505,0.97
"16",0.26969696969697,0.94
"17",0.284343434343434,0.82
"18",0.298989898989899,0.84
"19",0.313636363636364,0.86
"20",0.328282828282828,0.82
"21",0.342929292929293,0.82
"22",0.357575757575758,0.71
"23",0.372222222222222,0.74
"24",0.386868686868687,0.59
"25",0.401515151515151,0.72
"26",0.416161616161616,0.55
"27",0.430808080808081,0.6
"28",0.445454545454545,0.59
"29",0.46010101010101,0.54
"30",0.474747474747475,0.43
"31",0.489393939393939,0.48
"32",0.504040404040404,0.41
"33",0.518686868686869,0.42
"34",0.533333333333333,0.37
"35",0.547979797979798,0.48
"36",0.562626262626263,0.33
"37",0.577272727272727,0.37
"38",0.591919191919192,0.35
"39",0.606565656565657,0.32
"40",0.621212121212121,0.28
"41",0.635858585858586,0.23
"42",0.65050505050505,0.26
"43",0.665151515151515,0.25
"44",0.67979797979798,0.28
"45",0.694444444444444,0.26
"46",0.709090909090909,0.29
"47",0.723737373737374,0.22
"48",0.738383838383838,0.24
"49",0.753030303030303,0.23
"50",0.767676767676768,0.24
"51",0.782323232323232,0.24
"52",0.796969696969697,0.22
"53",0.811616161616162,0.2
"54",0.826262626262626,0.22
"55",0.840909090909091,0.2
"56",0.855555555555556,0.16
"57",0.87020202020202,0.15
"58",0.884848484848485,0.1
"59",0.899494949494949,0.18
"60",0.914141414141414,0.18
"61",0.928787878787879,0.18
"62",0.943434343434343,0.13
"63",0.958080808080808,0.12
"64",0.972727272727273,0.15
"65",0.987373737373737,0.19
"66",1.0020202020202,0.18
"67",1.01666666666667,0.17
"68",1.03131313131313,0.13
"69",1.0459595959596,0.13
"70",1.06060606060606,0.12
"71",1.07525252525253,0.13
"72",1.08989898989899,0.14
"73",1.10454545454545,0.12
"74",1.11919191919192,0.13
"75",1.13383838383838,0.11
"76",1.14848484848485,0.1
"77",1.16313131313131,0.11
"78",1.17777777777778,0.09
"79",1.19242424242424,0.17
"80",1.20707070707071,0.11
"81",1.22171717171717,0.22
"82",1.23636363636364,0.1
"83",1.2510101010101,0.06
"84",1.26565656565657,0.18
"85",1.28030303030303,0.15
"86",1.29494949494949,0.11
"87",1.30959595959596,0.12
"88",1.32424242424242,0.08
"89",1.33888888888889,0.1
"90",1.35353535353535,0.11
"91",1.36818181818182,0.1
"92",1.38282828282828,0.11
"93",1.39747474747475,0.13
"94",1.41212121212121,0.19
"95",1.42676767676768,0.07
"96",1.44141414141414,0.05
"97",1.45606060606061,0.12
"98",1.47070707070707,0.1
"99",1.48535353535354,0.14
"100",1.5,0.11
